"jags_function","r_function","r_package"
"abs","abs","base"
"arccos","acos","base"
"arccosh","acosh","base"
"arcsin","asin","base"
"arcsinh","asinh","base"
"arctan","atan","base"
"arctanh","atanh","base"
"cos","cos","base"
"cosh","cosh","base"
"cloglog","cloglog","VGAM"
"equals","==","base"
"exp","exp","base"
"icloglog","",""
"ifelse","ifelse","base"
"ilogit","plogis","base"
"log","log","base"
"logfact","",""
"loggam","",""
"logit","qlogis","base"
"phi","pnorm","base"
"pow","^","base"
"probit","probit","VGAM"
"round","ceiling","base"
"sin","sin","base"
"sinh","sinh","base"
"sqrt","sqrt","base"
"step",">= 0","base"
"tan","tan","base"
"tanh","tanh","base"
"trunc","floor","base"
